SubjectID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x12,x14,x16,x17,L_d1,L_d2,L_d3,L_d4,L_d5,L_d6,L_d7,L_d8,L_d9,L_d10,L_theta1,L_theta2,R_d1,R_d2,R_d3,R_d4,R_d5,R_d6,R_d7,R_d8,R_d9,R_d10,R_theta1,R_theta2
50,15.3432,21.4395,20.9595,0.0909,0.6416,12.7168,8.2346,13.1369,37.3,56.4,186.9,57.1,123.3,1.8911,1.0561,1.6662,2.2256,6.6572,3.3001,0.49,1.17,1.3,0.23,11.1334,18.4692,1.8781,1.0379,1.5962,2.3091,6.6528,3.4209,0.49,1.2,1.3,0.23,4.2066,27.9594
51,16.1909,21.4828,19.5069,0.0182,0.2275,13.071,4.8164,14.5179,36.5,59.1,175.9,57.9,121.2,2.0097,0.8297,1.845,2.2469,6.8035,2.8327,0.82,1.12,1.15,0.28,12.7647,19.2128,2.0085,0.9586,1.8824,2.3384,6.7692,3.1582,0.82,1.1,1.2,0.28,14.419,15.4615
52,15.524,20.9542,21.3891,0.1585,0.0632,13.3662,7.87,12.4648,34.8,59.1,187.5,59.1,120.1,2.0883,0.9827,1.7431,1.7921,6.1536,2.8446,0.86,1.02,0.97,0.23,14.4786,21.8141,1.9936,0.9926,1.8311,1.7928,5.929,2.868,0.86,1.04,1,0.23,18.52,26.2219
53,16.2149,21.8886,20.8398,0.2813,1.0921,13.0041,8.4109,12.1012,37.7,56.8,190.5,59.7,125.2,1.884,1.0341,2.0072,2.0333,6.4401,3.2323,0.54,1.17,1.3,0.3,10.8165,19.6586,1.9031,1.0539,1.677,2.0833,6.4213,3.1886,0.54,1.22,1.34,0.3,2.561,24.2501
54,16.6356,21.4732,20.7569,0.1348,0.0038,13.0662,4.2902,14.0542,40.2,62.9,187.3,56.7,132.2,1.809,1.0476,1.9714,2.0493,6.3714,3.3247,0.61,1.07,1.24,0.4,7.4867,11.1894,1.8906,1.1361,1.9362,2.0862,6.4263,3.3863,0.61,1.1,1.24,0.4,9.9606,15.4731
55,14.9979,21.4986,18.7131,0.5144,0.0053,11.8116,7.7984,10.2699,30.5,52.1,184.5,53.9,114.5,1.7018,0.9721,1.3709,2.1631,6.0495,2.8277,0.63,1.28,1.39,0.22,6.7896,24.3769,1.8016,1.1165,1.4275,2.263,6.1243,2.6872,0.63,1.3,1.4,0.22,5.8158,29.5972
56,15.2957,20.8993,19.9504,0.1702,0.0373,12.031,6.2871,11.5322,35.1,55.7,179.5,55.1,113.3,1.8389,0.8571,2.0047,2.0076,5.7845,3.0621,0.94,1.04,1.05,0.36,5.2416,35.1249,1.8226,0.8532,2.056,2.096,5.8026,3.0003,0.94,1.03,1.11,0.36,10.9202,23.8873
57,13.9408,20.5495,20.3738,0.6192,0.3507,11.0372,5.8111,11.0227,30.5,49,169.2,54.9,100.9,1.6913,1.0106,2.1511,2.2181,5.7439,3.2809,0.64,1.2,1.17,0.27,0.6255,33.7733,1.8687,0.9566,2.1588,2.2802,5.8426,3.0988,0.64,1.15,1.21,0.27,0.4532,29.9207
58,14.7475,19.4904,21.1327,0.5799,1.0319,12.2109,9.2099,12.3542,34.1,53.1,179.9,56.2,113.4,1.6789,0.9564,2.0382,2.2215,6.9696,3.1055,0.57,1.39,1.4,0.33,17.1233,27.0741,1.8007,1.028,2.0425,2.2214,6.9569,3.275,0.57,1.5,1.46,0.33,20.053,30.6095
59,15.3759,21.2437,20.6235,0.2525,0.4519,11.4604,6.678,11.7594,32.2,53.5,192.6,57.5,110.9,1.9496,1.1203,1.5515,1.8002,6.1548,2.8747,0.79,1.13,1.28,0.33,7.5543,26.7089,2.0164,1.0622,1.4443,1.8853,5.9932,2.898,0.79,1.15,1.25,0.33,14.6932,25.3455
60,13.8386,20.4802,19.859,0.1789,0.1286,11.6668,5.5165,11.8861,30.8,51.3,170.1,54.9,109.9,1.9307,1.0129,2.0073,2.1097,6.0063,2.8845,0.74,1.02,1.23,0.23,17.8851,23.3334,1.9683,0.9585,1.8731,2.0463,6.0661,2.7975,0.74,0.94,1.24,0.23,10.8585,22.9023
61,16.3384,21.4832,20.7767,0.0364,0.6266,13.5068,5.3739,12.9443,35.9,60.6,176,60,125.3,1.9962,1.1429,1.7523,2.0353,6.4656,3.4547,0.66,1.05,1.09,0.25,15.4084,18.7852,1.9957,1.1276,1.8394,2.0217,6.3892,3.4257,0.66,1.1,1.1,0.25,6.6193,20.7621
